Section,Subsection,,Link(s),Title,Author(s),Affiliation,PMID,PMCID,PubDate,MeSH,Abstract,PubType
,,article_title
,,Neuro,Neuro link
Neuro,Neuro - General,General:
Neuro,Neuro - General,Spectrum of neurological complications following COVID-19 vaccination: https://www.ncbi.nlm.nih.gov/labs/pmc/articles/PMC8557950/,https://www.ncbi.nlm.nih.gov/labs/pmc/articles/PMC8557950/
Neuro,Neuro - General,Covid Vaccines are not free of Neurologic side effects: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8206845/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8206845/
Neuro,Neuro - General,COVID-19 mRNA vaccination leading to CNS inflammation: a case series https://link.springer.com/article/10.1007/s00415-021-10780-7?fbclid=IwAR1WIozzELtGyD_DttkLNZFMcl3yW6iBW9C0v8uRyiYtTulzRvKVPE_xYko
,,A systematic review of cases of CNS demyelination following COVID-19 vaccination: https://pubmed.ncbi.nlm.nih.gov/34839149/,https://pubmed.ncbi.nlm.nih.gov/34839149 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8577051/,A systematic review of cases of CNS demyelination following COVID-19 vaccination.,"Ismail, Ismail Ibrahim; Salama, Sara","Department of Neurology, Ibn Sina Hospital, Kuwait. Electronic address: dr.ismail.ibrahim2012@gmail.com.; Department of Neurology and Psychiatry, University of Alexandria, Alexandria, Egypt.",34839149,PMC8577051,2022-01-15 00:00:00,"COVID-19/*prevention & control; COVID-19 Vaccines/*adverse effects; Demyelinating Autoimmune Diseases, CNS/*chemically induced/*epidemiology/etiology; Humans; SARS-CoV-2","BACKGROUND: Since the emergency use approval of different types of COVID-19 vaccines, several safety concerns have been raised regarding its early and delayed impact on the nervous system. OBJECTIVE: This study aims to systematically review the reported cases of CNS demyelination in association with",Vaccine Publication
,,Spectrum of neuroimaging findings in post-covid-19 vaccination: a case series and review of the literature: https://pubmed.ncbi.nlm.nih.gov/34842783/,https://pubmed.ncbi.nlm.nih.gov/34842783 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628885/,Spectrum of Neuroimaging Findings in Post-COVID-19 Vaccination: A Case Series and Review of Literature.,"Sriwastava, Shitiz; Shrestha, Ashish K; Khalid, Syed Hassan; Colantonio, Mark A; Nwafor, Divine; Srivastava, Samiksha","Department of Neurology, Rockefeller Neuroscience Institute, West Virginia University, Morgantown, WV 26506, USA.; School of Medicine, West Virginia University, Morgantown, WV 26506, USA.; West Virginia Clinical and Translational Science Institute, Morgantown, WV 26506, USA.; Department of Neurology, Wayne State University, Detroit, MI 48201, USA.; Katmandu Medical College, School of Medicine, Kathmandu 44600, Nepal.; Department of Neurology, Rockefeller Neuroscience Institute, West Virginia University, Morgantown, WV 26506, USA.; School of Medicine, West Virginia University, Morgantown, WV 26506, USA.; School of Medicine, West Virginia University, Morgantown, WV 26506, USA.; Department of Neurology, Wayne State University, Detroit, MI 48201, USA.",34842783,PMC8628885,2021-11-19 00:00:00,,"Background and Purpose: The novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was first detected in Wuhan, China in December 2019. Symptoms range from mild flu-like symptoms to more severe presentations, including pneumonia, acute respiratory distress syndrome (ARDS), and even death. In response to the",Vaccine Publication
,,Neurologic autoimmune diseases following vaccinations: https://pubmed.ncbi.nlm.nih.gov/34668274/,https://pubmed.ncbi.nlm.nih.gov/34668274 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8652629/,Neurological autoimmune diseases following vaccinations against SARS-CoV-2: a case series.,"Kaulen, Leon D; Doubrovinskaia, Sofia; Mooshage, Christoph; Jordan, Berit; Purrucker, Jan; Haubner, Carmen; Seliger, Corinna; Lorenz, Hanns-Martin; Nagel, Simon; Wildemann, Brigitte; Bendszus, Martin; Wick, Wolfgang; Schönenberger, Silvia","Department of Neurology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Department of Neurology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Department of Neuroradiology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Department of Neurology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Department of Neurology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Department of Neurology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Department of Neurology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Division of Rheumatology, Department of Internal Medicine V, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Department of Neurology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Department of Neurology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Department of Neuroradiology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Department of Neurology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.; Department of Neurology, University Hospital Heidelberg, Heidelberg University, Heidelberg, Germany.",34668274,PMC8652629,2022-02-01 00:00:00,"2019-nCoV Vaccine mRNA-1273; Adult; Aged; Aged, 80 and over; BNT162 Vaccine; *COVID-19; COVID-19 Vaccines; Female; *Guillain-Barre Syndrome; Humans; Middle Aged; *Peripheral Nervous System Diseases; SARS-CoV-2; Vaccination/adverse effects; Young Adult",BACKGROUND AND PURPOSE: Population-based studies suggest that severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) vaccines may trigger,Vaccine Publication
,,New-onset autoimmune phenomena post COVID-19 vaccination: https://pubmed.ncbi.nlm.nih.gov/34957554/                                                                                                                                                                                                        ,https://pubmed.ncbi.nlm.nih.gov/34957554 ,New-onset autoimmune phenomena post-COVID-19 vaccination.,"Chen, Yue; Xu, Zhiwei; Wang, Peng; Li, Xiao-Mei; Shuai, Zong-Wen; Ye, Dong-Qing; Pan, Hai-Feng","Department of Epidemiology and Biostatistics, School of Public Health, Anhui Medical University, Hefei, China.; Inflammation and Immune Mediated Diseases Laboratory of Anhui Province, Hefei, China.; School of Public Health, Faculty of Medicine, University of Queensland, Brisbane, Qld, Australia.; Teaching Center of Preventive Medicine, School of Public Health, Anhui Medical University, Hefei, China.; Department of Rheumatology, The First Affiliated Hospital of University of Science and Technology of China, Hefei, China.; Department of Rheumatology and Immunology, The First Affiliated Hospital of Anhui Medical University, Hefei, China.; Department of Epidemiology and Biostatistics, School of Public Health, Anhui Medical University, Hefei, China.; Inflammation and Immune Mediated Diseases Laboratory of Anhui Province, Hefei, China.; Department of Epidemiology and Biostatistics, School of Public Health, Anhui Medical University, Hefei, China.; Inflammation and Immune Mediated Diseases Laboratory of Anhui Province, Hefei, China.",34957554,,2022-04-01 00:00:00,*Autoimmune Diseases/etiology; *COVID-19/prevention & control; COVID-19 Vaccines/adverse effects; Humans; SARS-CoV-2; Vaccination,"Coronavirus disease 2019 (COVID-19) pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has led to an unprecedented setback for global economy and health. Vaccination is one of the most effective interventions to substantially reduce severe disease and death due to SARS-CoV-2 infection. Vaccination programmes are being rolled out globally, but most of these vaccines have been approved without extensive studies on their side-effects and efficacy. Recently, new-onset autoimmune phenomena after COVID-19 vaccination have been reported increasingly (e.g. immune thrombotic thrombocytopenia, autoimmune liver diseases, Guillain-Barré syndrome, IgA nephropathy, rheumatoid arthritis and systemic lupus erythematosus). Molecular mimicry, the production of particular autoantibodies and the role of certain vaccine adjuvants seem to be substantial contributors to autoimmune phenomena. However, whether the association between",Vaccine Publication
,,Neurologic side effects of COVID-19 vaccinations: https://pubmed.ncbi.nlm.nih.gov/34750810/,https://pubmed.ncbi.nlm.nih.gov/34750810 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8653194/,Neurological side effects of SARS-CoV-2 vaccinations.,"Finsterer, Josef","Klinik Landstrasse, Vienna, Austria.",34750810,PMC8653194,2022-01-01 00:00:00,*COVID-19; COVID-19 Vaccines; *Guillain-Barre Syndrome/etiology; Humans; SARS-CoV-2; Vaccination/adverse effects,"SARS-CoV-2 and adverse reactions to SARS-CoV-2 vaccinations show a tropism for neuronal structures and tissues. This narrative review was conducted to collect and discuss published data about neurological side effects of SARS-CoV-2 vaccines in order to discover type, frequency, treatment, and outcome of these side effects. The most frequent neurological side effects of SARS-CoV-2 vaccines are headache, Guillain-Barre syndrome (GBS), venous sinus thrombosis (VST), and transverse myelitis. Other neurological side effects occur in a much lower frequency. Neurological side effects occur with any of the approved vaccines but VST particularly occurs after vaccination with vector-based vaccines. Treatment of these side effects is not at variance from similar conditions due to other causes. The worst outcome of these side effects is associated with VST, why it should not be missed and treated appropriately in due time. In conclusion, safety concerns against SARS-CoV-2 vaccines are backed by an increasing number of studies reporting neurological side effects. The most frequent of them are headache, GBS, VST, and transverse myelitis. Healthcare professionals, particularly neurologists involved in the management of patients having undergone",Vaccine Publication
Neuro,Neuro - General,Rebuttal about Functional Neurologic Disorders and Vaccination:https://onlinelibrary.wiley.com/doi/full/10.1002/ana.26160?fbclid=IwAR3C-QQc-ZDEDoCu0fWNQuVYzvbC3qYHGekCaicU5-l_bOUz4N52jl1wjJ0,https://onlinelibrary.wiley.com/doi/full/10.1002/ana.26160?fbclid=IwAR3C-QQc-ZDEDoCu0fWNQuVYzvbC3qYHGekCaicU5-l_bOUz4N52jl1wjJ0
